Company Name,Sector,Stage,Amount,Location,Funding Year,Founded,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,2018,,
Happy Cow Dairy,"Agriculture, Farming",Seed,480000.0,Mumbai,2018,,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,780000.0,Gurgaon,2018,,
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,2018,,
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,,Hyderabad,2018,,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,2018,,
Tripshelf,"Internet, Leisure, Marketplace",Seed,192000.0,Kalkaji,2018,,
Hyperdata.IO,Market Research,Angel,600000.0,Hyderabad,2018,,
Freightwalla,"Information Services, Information Technology",Seed,,Mumbai,2018,,
Microchip Payments,Mobile Payments,Seed,,Bangalore,2018,,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,,Delhi,2018,,
Emojifi,Internet,Seed,,Bengaluru,2018,,
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,,India,2018,,
Freshboxx,Food Delivery,Seed,,Hubli,2018,,
Wide Mobility Mechatronics,Industrial Automation,Seed,,Bangalore,2018,,
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1200000.0,Bengaluru,2018,,
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,2018,,
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,2018,,
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,,New Delhi,2018,,
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,6000.0,Chennai,2018,,
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,2018,,
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,2018,,
Sleepy Owl Coffee,Food and Beverage,Seed,420000.0,New Delhi,2018,,
BlueJack,Autonomous Vehicles,Seed,768000.0,Delhi,2018,,
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,,Bengaluru,2018,,
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,,Mohali,2018,,
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,2018,,
Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,2018,,
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,2018,,
NicheAI,Artificial Intelligence,Angel,,Hyderabad,2018,,
Chariot Tech,"Internet of Things, Telecommunications",Seed,240000.0,New Delhi,2018,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,2018,,
Loanzen,Financial Services,Seed,,Bangalore,2018,,
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bengaluru,2018,,
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,2018,,
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bengaluru,2018,,
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,2018,,
Kriger Campus,Education,Seed,360000.0,New Delhi,2018,,
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,2018,,
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,2018,,
Chakr Innovation,Renewable Energy,Seed,,New Delhi,2018,,
IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,2018,,
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,480000.0,India,2018,,
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,2018,,
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,2018,,
Pooltoo,Transportation,Seed,,New Delhi,2018,,
Finzy,"Financial Services, Lending",Seed,1300000.0,Bangalore,2018,,
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,2018,,
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,,Pune,2018,,
Tolet for Students,Hospitality,Seed,60000.0,Jodhpur,2018,,
Chai Kings,"Food and Beverage, Tea",Seed,240000.0,Chennai,2018,,
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,480000.0,Kanpur,2018,,
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,240000.0,Bengaluru,2018,,
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,2018,,
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,150000.0,New Delhi,2018,,
Arogya MedTech,"Health Care, Medical",Seed,180000.0,Kolkata,2018,,
Propshop24,E-Commerce,Seed,500000.0,Mumbai,2018,,
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,2018,,
MissMalini Entertainment,—,Seed,1248000.0,Mumbai,2018,,
Rooter,Sports,Seed,540000.0,India,2018,,
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bangalore,2018,,
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,,Bengaluru,2018,,
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,2018,,
Sattviko,"Food Processing, Retail",Angel,,New Delhi,2018,,
Sensibull,Trading Platform,Seed,300000.0,Bangalore,2018,,
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,,New Delhi,2018,,
MedCords,Wellness,Seed,316800.0,Pune,2018,,
University Living,Education,Seed,,New Delhi,2018,,
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,,Bangalore,2018,,
Enakshi,Fashion,Seed,96000.0,Ahmedabad,2018,,
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,720.0,Bangalore,2018,,
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,2018,,
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bangalore,2018,,
Guardian.in,Health Care,Seed,,Mumbai,2018,,
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,2018,,
Wimoxez,Internet,Seed,20000.0,Hyderabad,2018,,
India Accelerator,"Communities, Coworking, Incubators",Angel,,Gurgaon,2018,,
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,2018,,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,,Azadpur,2018,,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,2018,,
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,2018,,
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,,Mumbai,2018,,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,2018,,
Carmesi,Health Care,Seed,408000.0,Gurgaon,2018,,
OckyPocky,"E-Learning, Internet, Video Games",Angel,,Haryana,2018,,
